peopleCd,peopleNm,filmoNames,repRoleNm
10038689,존 왓츠,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카,감독
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈,감독
10023314,조시 쿨리,토이 스토리 4,감독
20209287,남대중,기방도령|위대한 소원,감독
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!",감독
20148215,고정욱,진범|몽타주|흉터|채식주의자|사랑 따윈 필요 없어|독개구리,조감독
10090941,히라야마 미호,극장판 엉덩이 탐정: 화려한 사건 수첩,감독
10018162,게리 도버먼,애나벨 집으로,감독
10071639,채드 스타헬스키,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 ,배우
10021926,아리 애스터,미드소마|유전,감독
20135271,강윤성,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복,감독
10066410,로버트 페르난데스,천로역정: 천국을 찾아서,감독
20196179,이정호,독전|신 전래동화|그것만이 내 세상|강철비|남한산성|로마의 휴일|불한당: 나쁜 놈들의 세상|신의 한 수|찌라시: 위험한 소문,배우
20204507,김덕근,사냥|조선마술사|나의 새라씨|민혁이 동생 승혁이|새벽|하늘 아래 다리,감독
10009058,닐 조단,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자,감독
10091258,F. 게리 그레이,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 ,감독
10008737,라스 클리브버그,사탄의 인형|폴라로이드,감독
10034380,사이먼 킨버그,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터,
10027082,미미 레더,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커,감독
10027387,미야자키 하야오,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험,감독
10009032,닐 버거,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트,감독
10012399,덱스터 플레처,로켓맨|잇 로컬|독수리 에디|선샤인 온 리스|와일드 빌|스탠더|록 스탁 앤 2 스모킹 배럴즈|죽어도 좋아,배우
10043421,안소니 루소,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드,감독
20131414,이원태,악인전|대장 김창수|조선마술사|가비|파파|오싹한 연애,감독
10022882,마이클 도허티,고질라: 킹 오브 몬스터|트릭 오어 트릿,감독
10028891,박신우,트랩: 디렉터스 컷|백야행|미성년자 관람불가,감독
10053709,유선동,0.0MHz|내 심장을 쏴라|고死 두 번째 이야기: 교생실습|미스터 주부퀴즈왕|아라한 장풍대작전|샌드위치,감독
20326692,정다원,발광하는 현대사,배우
10060063,장규성,어린 의뢰인|바람 바람 바람|나는 왕이로소이다|이장과 군수|여선생 VS 여제자|선생 김봉두|재밌는 영화,감독
20322109,이호경,교회오빠,감독
10043278,데이빗 야로베스키,더 보이|더 하이브,감독
20314390,홍승완,배심원들,감독
10018169,롭 레터맨,명탐정 피카츄|캡틴 언더팬츠|구스범스|걸리버 여행기|몬스터 vs 에이리언|샤크,감독
10054185,육상효,"나의 특별한 형제|화장|강철대오:구국의 철가방|방가? 방가!|여자, 정혜|달마야, 서울 가자|아이언 팜|축제|장미빛 인생",감독
20132877,김현호,스윙키즈|협상|상류사회|신과함께-인과 연|신과함께-죄와 벌|나를 잊지 말아요|나의 독재자|좋지 아니한가|엄마|챔피언,제작팀
20312876,앤소니 마라스,호텔 뭄바이,감독
10018860,루카 구아다니노,서스페리아|콜 미 바이 유어 네임|비거 스플래쉬|베르톨루치가 말하는 베르톨루치 |아이 엠 러브|멜리사 P.,감독
10076064,캘리 애스버리,어글리 돌|스머프: 비밀의 숲|노미오와 줄리엣|슈렉2|스피릿,감독
20243469,미즈노 시게노리,안도 타다오,감독
20159971,이종언,생일|시|여행자|밀양|봄|처녀네 식당,감독
10042886,애너 보든,캡틴 마블|이츠 카인드 오브 어 퍼니 스토리|슈거,감독
10003461,기예르모 델 토로,퍼시픽 림: 업라이징|셰이프 오브 워터: 사랑의 모양|크림슨 피크|퍼시픽 림|마마|헬보이 2 : 골든 아미|판의 미로 - 오필리아와 세 개의 열쇠|헬보이|블레이드 2|악마의 등뼈|미믹 |크로노스,감독
10013576,크리스찬 하스,프렌즈: 둥지탈출,감독
10073007,마이클 차베즈,요로나의 저주,감독
10005276,김윤석,"미성년|암수살인|1987|남한산성|당신, 거기 있어줄래요|검은 사제들|극비수사|쎄시봉|타짜-신의 손|해무(海霧)|화이: 괴물을 삼킨 아이|남쪽으로 튀어|도둑들|도둑들 영화를 만들다|완득이|황해|전우치|거북이 달린다|추격자|즐거운 인생|타짜|천하장사 마돈나|야수|파랑주의보|내 생애 가장 아름다운 일주일|시실리 2km|범죄의 재구성|울랄라씨스터즈|베사메무쵸|어린 연인",배우
10000873,강지은,"크게 될 놈|고산자, 대동여지도|강철중: 공공의 적 1-1|도마뱀|실미도|공공의 적",감독
10017730,로저 미첼,위크엔드 인 파리|굿모닝 에브리원|사랑을 견뎌내기|마더|체인징 레인스|노팅 힐|설득,감독
20151353,박누리,돈|남자가 사랑할 때|베를린|부당거래|서울이 보이냐|더 게임|김관장 대 김관장 대 김관장,조감독
10041297,아담 맥케이,바이스|빅쇼트|앵커맨: 더 레전드 컨티뉴|스탠바이 캅|스텝 브라더스|텔라데가 나이트 : 리키 바비의 발라드|앵커맨,감독
10009025,닐 마샬,헬보이|센츄리온|둠스데이:지구 최후의 날|디센트|독 솔져,감독
20302929,김성기,왓칭,감독
10085431,피에르 모렐,아이 엠 마더|더 건맨 : 테이큰 감독 뉴프로젝트|더 건맨|프롬 파리 위드 러브|테이큰|13구역|트랜스포터,감독
20235586,데이비드 F. 샌드버그,샤잠!|애나벨 : 인형의 주인|라이트 아웃,감독
10086265,조던 필,어스|겟 아웃,감독
20189699,케빈 콜쉬,공포의 묘지|오디션,감독
10060348,프랭키 첸,장난스런 키스|나의 소녀시대,감독
10061189,저스틴 밸도니,파이브 피트,감독
10081788,팀 버튼,덤보|미스 페레그린과 이상한 아이들의 집|거울나라의 앨리스|빅 아이즈|링컨: 뱀파이어 헌터|다크 섀도우|프랑켄위니|이상한 나라의 앨리스|스위니 토드 : 어느 잔혹한 이발사 이야기|유령신부(애니)|찰리와 초콜릿 공장|빅 피쉬|혹성탈출|슬리피 할로우|팀버튼의 화성침공 |팀 버튼의 크리스마스 악몽|배트맨2|가위손|프랑켄위니|빈센트 ,감독
20316812,이창근,로망,감독
10052420,워시 웨스트모어랜드,콜레트|스틸 앨리스|달콤한 열여섯,감독
20196167,이정범,미션스쿨|하이힐,동시녹음팀
20321940,이수진,번 더 스테이지: 더 무비,시나리오(각본)
20239886,김지혜,썬키스 패밀리|생생활활,감독
20318581,신상민,1919 유관순,감독
10033522,애덤 로비텔,이스케이프 룸|인시디어스4: 라스트 키|테이킹,감독
10078519,클린트 이스트우드,라스트 미션|설리: 허드슨강의 기적|아메리칸 스나이퍼|저지 보이즈|내 인생의 마지막 변화구 |J.에드가 - FBI의 시작|히어애프터|우리가 꿈꾸는 기적: 인빅터스|그랜 토리노|체인질링|아버지의 깃발|이오지마에서 온 편지|밀리언 달러 베이비|더 블루스: 피아노 블루스|미스틱 리버|블러드 워크|스페이스 카우보이|클린트 이스트우드: 아웃 오브 섀도우|트루 크라임|앱솔루트 파워 |매디슨 카운티의 다리|완전한 세상 |사선에서|용서받지 못한 자|후계자|더티해리 4-써든 임팩트/서든 임팩트|화이어폭스|더티 파이터 2|원 웨이 티켓|더티 해리3-집행자|아우트 로|아이거 빙벽|대도적|황야의 스트렌저|이것이 법이다|브리지|어둠속에 벨이 울릴 때|더티 해리|사기당한 사람들|켈리의 영웅들|집행자|황야의 무법자|더티 화이터,감독
20284809,스도 토모노리,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이|페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,감독
10084180,막심 파디브,정글북: 마법 원정대,감독
10086073,피터 패럴리,"그린 북|덤 앤 더머 투|바보 삼총사|홀 패스|하트브레이크 키드|날 미치게하는 남자|붙어야 산다|내겐 너무 가벼운 그녀|미, 마이셀프 앤드 아이린|메리에겐 뭔가 특별한 것이 있다 |킹 핀 |덤 앤 더머 ",감독
20325318,조민호,항거:유관순 이야기,스토리보드
20125862,이병헌,"극한직업|레슬러|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다",감독
20327892,이한상,인터뷰,감독
10060462,장재현,"사바하|시간위의 집|검은 사제들|광해, 왕이 된 남자|특수본|바다|12번째 보조사제|버스|인도에서 온 말리|오오단편극장 - 이학주 배우전|어둑시니: 두려움을 먹는 자|제14회 미쟝센 단편영화제 전년도 수상작1|1월 단편 상상극장-해피 뉴 스타|제13회 미쟝센 단편영화제 심야의 절대구타 360|제13회 미쟝센 단편영화제 절대악몽1",감독
20317199,아르나드 부롱,숲속왕국의 꿀벌 여왕,감독
10065698,요르고스 란티모스,더 페이버릿: 여왕의 여자|킬링 디어|더 랍스터|송곳니|송곳니 감독판|내 가장 친한 친구,감독
10051453,라파엘 리바스,리노,감독
20201768,김유성,헤픈젤: 비밀의 몸캠|꿈꾸는 나비|맛있는 정사: 오피스 와이프|없던 일|비밀: 아내의 남자|위험한 유혹 - 추억이 떠나면 외로움만 남는다,편집
10020816,린 사우더랜드,신데렐라:마법 반지의 비밀|뮬란 2,감독
20158665,박수진,"런닝맨 : 풀룰루의 역습|슈퍼레이서 엔지|봄, 눈|메이크 유어 무브 |댄싱퀸|원더풀 라디오|투혼|카운트다운|도가니|가문의 영광4 - 가문의 수난|블라인드|위험한 상견례|로맨틱 헤븐|나는 아빠다|그대를 사랑합니다|헬로우 고스트|황해|소와 함께 여행하는 법|심야의 F.M.|그랑프리|된장",VFX 아티스트
10013583,딘 데블로이스,드래곤 길들이기 3|드래곤 길들이기 2|드래곤 길들이기|헤이마|릴로와 스티치,감독
10016605,로버트 로드리게즈,알리타: 배틀 엔젤|씬 시티: 다크히어로의 부활|마세티 킬즈|스파이키드4 : 올더타임인더월드|마셰티|쇼츠|플래닛 테러|그라인드 하우스|샤크보이와 라바걸의 모험 : 3-D|스파이 키드 3D|원스 어폰 어 타임 인 멕시코 |스파이 키드 2|스파이 키드|패컬티|황혼에서 새벽까지|포 룸 |엘 마리아치,감독
10077478,크리스토퍼 랜던,해피 데스데이 2 유|해피 데스데이|파라노말 액티비티 : 더 마크드 원스,감독
10077207,크리스 콜럼버스,"픽셀|퍼시 잭슨과 번개 도둑|아이 러브 유, 베스 쿠퍼|렌트|해리포터와 비밀의 방|해리포터와 마법사의 돌|바이센테니얼 맨|스텝맘|나인 먼쓰 |미세스 다웃파이어 |나 홀로 집에 2|나홀로 집에|피라미드의 공포|구니스 |그렘린 ",감독
10087600,한스 페터 몰란트,콜드 체이싱|미결처리반 Q: 믿음의 음모|사라짐의 순서|거품이 사라지면 |페더젠 동지|아름다운 나라,감독
10018173,롭 마샬,메리 포핀스 리턴즈|숲속으로|캐리비안의 해적: 낯선 조류|나인|게이샤의 추억|시카고,감독
20321852,이민재,살아남은 아이,배우
20183664,한준희,뺑반|차이나타운|사이코메트리|시나리오 가이드,감독
20115431,야마모토 야스이치로,명탐정 코난: 에피소드 원-작아진 명탐정|명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀|명탐정 코난: 11번째 스트라이커|명탐정 코난: 천공의 난파선|명탐정 코난:전율의 악보|명탐정 코난:감벽의 관|명탐정 코난 : 탐정들의 진혼가 |명탐정 코난 : 수평선상의 음모|명탐정 코난:은빛 날개의 마술사,감독
20306433,김진철,극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 헬로카봇 : 백악기 시대|헬로 카봇,작화감독
10022687,마이크 미첼,레고 무비2|트롤|앨빈과 슈퍼밴드3|슈렉 포에버|스카이 하이|서바이빙 크리스마스|듀스 비갈로,감독
20187477,엄유나,말모이|택시운전사|번개와 춤을,시나리오(각본)
20204507,김덕근,사냥|조선마술사|나의 새라씨|민혁이 동생 승혁이|새벽|하늘 아래 다리,감독
10006823,나딘 라바키,"가버나움|사랑해, 리우|카라멜",감독
10000970,강효진,내안의 그놈|양아치 느와르|폭력의 법칙: 나쁜 피 두 번째 이야기|미쓰 와이프|나쁜 피|육혈포 강도단|펀치레이디|맨손으로 죽여라?|조폭마누라,감독
20121802,리치 무어,주먹왕 랄프 2: 인터넷 속으로|주토피아|주먹왕 랄프|심슨 가족|퓨쳐라마,감독
10091491,M. 나이트 샤말란,글래스|23 아이덴티티|더 비지트|애프터 어스|라스트 에어벤더|해프닝|레이디 인 더 워터|빌리지|싸인|언브레이커블|식스 센스|와이드 어웨이크,감독
10057737,이춘백,언더독|26년|마당을 나온 암탉|고인돌|누들누드 2|사람이되어라,작화감독
